model,year,transmission,mileage,engineSize,fuelType,price
 C Class,2019,Semi-Auto,2000,2,Diesel,28990
 C Class,2017,Automatic,6668,2.1,Diesel,24990
 C Class,2014,Semi-Auto,19562,6.2,Petrol,28990
 C Class,2016,Semi-Auto,29201,1.6,Diesel,16298
 C Class,2016,Manual,19864,2.1,Diesel,14698
 C Class,2016,Manual,22117,2,Petrol,13998
 C Class,2015,Semi-Auto,43331,2.1,Diesel,14698
 C Class,2014,Semi-Auto,51929,2.1,Diesel,10498
 C Class,2015,Semi-Auto,42245,2.1,Diesel,11998
 C Class,2016,Automatic,42062,2,Petrol,15698
 C Class,2015,Semi-Auto,43883,2.1,Diesel,16998
 C Class,2016,Semi-Auto,36587,2,Hybrid,17998
 C Class,2017,Semi-Auto,42036,2.1,Diesel,20998
 C Class,2016,Semi-Auto,36538,1.6,Diesel,13691
 C Class,2014,Manual,56000,2.1,Diesel,13491
 C Class,2017,Semi-Auto,11986,2,Petrol,21998
 C Class,2015,Semi-Auto,38783,2.1,Diesel,14500
 C Class,2017,Semi-Auto,38051,2.1,Diesel,15990
 C Class,2016,Semi-Auto,10542,2,Petrol,20490
 C Class,2018,Semi-Auto,3033,1.5,Petrol,20890
 C Class,2014,Semi-Auto,59884,2.1,Diesel,14490
 C Class,2018,Semi-Auto,1871,1.5,Petrol,21990
 C Class,2015,Semi-Auto,32594,2.1,Diesel,14750
 C Class,2019,Automatic,1474,3,Petrol,44990
 C Class,2019,Semi-Auto,15210,1.5,Petrol,24690
 C Class,2017,Semi-Auto,49783,2.1,Diesel,18270
 C Class,2018,Automatic,7175,2,Diesel,26625
 C Class,2015,Semi-Auto,35034,2,Petrol,13361
 C Class,2017,Semi-Auto,35576,2.1,Diesel,17490
 C Class,2019,Automatic,13888,2,Diesel,26427
 C Class,2019,Semi-Auto,4703,2,Diesel,29290
 C Class,2017,Semi-Auto,8143,2.1,Diesel,23047
 C Class,2015,Semi-Auto,57066,1.6,Diesel,13621
 C Class,2017,Semi-Auto,25296,2.1,Diesel,18200
 C Class,2017,Semi-Auto,29907,2.1,Diesel,16991
 C Class,2018,Semi-Auto,5659,2,Petrol,23498
 C Class,2015,Semi-Auto,23063,2.1,Diesel,14698
 C Class,2013,Semi-Auto,60948,2.1,Diesel,9798
 C Class,2016,Automatic,32769,2.1,Diesel,17998
 C Class,2017,Automatic,20949,2.1,Diesel,18998
 C Class,2016,Semi-Auto,27890,2.1,Diesel,20700
 C Class,2015,Semi-Auto,11954,2.1,Diesel,16990
 C Class,2014,Semi-Auto,42879,2.1,Diesel,11791
 C Class,2015,Semi-Auto,11470,1.6,Diesel,18191
 C Class,2016,Semi-Auto,26205,2.1,Diesel,20991
 C Class,2017,Semi-Auto,61305,1.6,Diesel,13321
 C Class,2016,Semi-Auto,10561,2.1,Diesel,21998
 C Class,2017,Semi-Auto,72939,2,Hybrid,15998
 C Class,2015,Manual,31125,2.1,Diesel,13498
 C Class,2017,Semi-Auto,37194,2.1,Diesel,20871
 C Class,2018,Semi-Auto,2240,2,Petrol,25891
 C Class,2017,Semi-Auto,21023,2.1,Diesel,20591
 C Class,2016,Semi-Auto,35975,2.1,Diesel,19991
 C Class,2015,Semi-Auto,55226,2.1,Diesel,15990
 C Class,2019,Automatic,3686,2,Diesel,30055
 C Class,2017,Automatic,33943,2,Petrol,21650
 C Class,2018,Semi-Auto,9699,2,Petrol,25990
 C Class,2017,Semi-Auto,25059,2.1,Diesel,17690
 C Class,2019,Automatic,101,2,Diesel,30950
 C Class,2019,Automatic,7006,1.5,Petrol,24950
 C Class,2015,Semi-Auto,38671,2.1,Diesel,14998
 C Class,2017,Semi-Auto,19877,2,Hybrid,19798
 C Class,2019,Semi-Auto,7937,1.5,Petrol,24498
 C Class,2018,Semi-Auto,20027,2.1,Diesel,19991
 C Class,2017,Semi-Auto,19953,2.1,Diesel,21991
 C Class,2018,Semi-Auto,18551,2.1,Diesel,22591
 C Class,2019,Semi-Auto,14288,2.1,Diesel,18790
 C Class,2019,Automatic,10485,1.5,Petrol,25950
 C Class,2020,Semi-Auto,101,2,Diesel,29950
 C Class,2017,Semi-Auto,27424,2.1,Diesel,14990
 C Class,2020,Automatic,2985,2,Diesel,31950
 C Class,2016,Semi-Auto,36051,2.1,Diesel,20990
 C Class,2020,Automatic,3458,1.5,Petrol,28990
 C Class,2019,Semi-Auto,6406,2,Diesel,27000
 C Class,2015,Semi-Auto,65000,2.1,Diesel,12590
 C Class,2018,Semi-Auto,22773,2.1,Diesel,20885
 C Class,2014,Semi-Auto,37000,6.2,Petrol,25885
 C Class,2016,Semi-Auto,30487,2.1,Diesel,14965
 C Class,2017,Automatic,29814,2.1,Diesel,16595
 C Class,2018,Semi-Auto,28050,2.1,Diesel,17940
 C Class,2018,Semi-Auto,18882,2.1,Diesel,19940
 C Class,2016,Semi-Auto,27034,1.6,Diesel,16498
 C Class,2016,Semi-Auto,40620,1.6,Diesel,14500
 C Class,2019,Semi-Auto,9057,2,Diesel,27791
 C Class,2019,Semi-Auto,7060,2,Diesel,26499
 C Class,2019,Semi-Auto,4615,2,Diesel,31990
 C Class,2018,Semi-Auto,9250,1.5,Petrol,20999
 C Class,2019,Semi-Auto,1052,2,Diesel,31999
 C Class,2017,Semi-Auto,25149,2,Petrol,17495
 C Class,2019,Semi-Auto,5947,1.6,Petrol,25495
 C Class,2019,Automatic,2749,2,Diesel,36995
 C Class,2019,Semi-Auto,7144,2,Diesel,30999
 C Class,2019,Semi-Auto,4843,2,Diesel,29999
 C Class,2016,Automatic,44641,2.1,Diesel,17880
 C Class,2016,Manual,26682,2.1,Diesel,13660
 C Class,2016,Automatic,18865,2.1,Diesel,23920
 C Class,2017,Semi-Auto,21225,2.1,Diesel,22960
 C Class,2017,Semi-Auto,52519,1.6,Diesel,16590
 C Class,2017,Semi-Auto,42000,2.1,Diesel,17990
 C Class,2019,Automatic,3233,1.6,Petrol,22270
 C Class,2016,Semi-Auto,28535,2.1,Diesel,22680
 C Class,2017,Semi-Auto,32629,2.1,Diesel,22440
 C Class,2016,Semi-Auto,30748,2.1,Diesel,17820
 C Class,2016,Semi-Auto,17600,2.1,Diesel,19290
 C Class,2016,Semi-Auto,31360,2.1,Diesel,16390
 C Class,2016,Semi-Auto,19598,2,Petrol,14450
 C Class,2016,Automatic,28192,2.1,Diesel,17250
 C Class,2016,Semi-Auto,38087,2.1,Diesel,19690
 C Class,2017,Semi-Auto,23523,2.1,Diesel,19250
 C Class,2019,Automatic,7716,1.5,Petrol,21980
 C Class,2019,Automatic,1647,1.5,Petrol,23990
 C Class,2019,Semi-Auto,5572,1.5,Petrol,21980
 C Class,2019,Automatic,101,2,Diesel,27990
 C Class,2015,Semi-Auto,66796,2.1,Hybrid,16998
 C Class,2016,Semi-Auto,41056,2.1,Diesel,19698
 C Class,2015,Manual,32140,2.1,Diesel,15498
 C Class,2020,Semi-Auto,1500,4,Petrol,67999
 C Class,2020,Semi-Auto,1500,1.5,Petrol,34999
 C Class,2016,Semi-Auto,12249,2,Petrol,21299
 C Class,2017,Semi-Auto,37564,2,Hybrid,17999
 C Class,2019,Semi-Auto,14360,1.5,Petrol,19999
 C Class,2017,Semi-Auto,10288,2,Petrol,21999
 C Class,2016,Semi-Auto,43236,2.1,Diesel,17699
 C Class,2016,Semi-Auto,33113,2.1,Diesel,14580
 C Class,2017,Semi-Auto,19784,2,Petrol,23990
 C Class,2019,Automatic,1610,2,Diesel,28660
 C Class,2017,Semi-Auto,31326,2.1,Diesel,19490
 C Class,2017,Semi-Auto,32790,2.1,Diesel,21770
 C Class,2019,Semi-Auto,11728,2,Diesel,25990
 C Class,2019,Automatic,6282,2,Diesel,28660
 C Class,2017,Semi-Auto,41131,2.1,Diesel,22590
 C Class,2017,Automatic,14052,2.1,Diesel,22770
 C Class,2015,Automatic,44929,2.1,Diesel,16480
 C Class,2018,Semi-Auto,10579,2,Diesel,27698
 C Class,2017,Semi-Auto,30536,2,Petrol,16499
 C Class,2019,Semi-Auto,10985,1.5,Petrol,19895
 C Class,2019,Semi-Auto,11480,2,Diesel,27595
 C Class,2019,Semi-Auto,12986,2,Diesel,25795
 C Class,2019,Semi-Auto,3984,1.5,Petrol,24499
 C Class,2019,Semi-Auto,8771,2,Petrol,30495
 C Class,2019,Semi-Auto,1683,2,Diesel,29999
 C Class,2018,Semi-Auto,16347,2,Diesel,27495
 C Class,2019,Manual,6959,1.6,Petrol,21795
 C Class,2013,Automatic,50591,1.6,Petrol,9881
 C Class,2015,Manual,14480,2,Petrol,13498
 C Class,2019,Semi-Auto,10471,2,Diesel,24450
 C Class,2015,Semi-Auto,37000,2.1,Diesel,17450
 C Class,2016,Semi-Auto,34000,2.1,Diesel,14450
 C Class,2017,Semi-Auto,22369,2.1,Diesel,24990
 C Class,2015,Semi-Auto,29286,2.1,Diesel,16440
 C Class,2014,Semi-Auto,52500,2.1,Diesel,9891
 C Class,2015,Semi-Auto,26273,2,Petrol,16998
 C Class,2015,Semi-Auto,48123,2.1,Diesel,16710
 C Class,2017,Automatic,19779,2.1,Diesel,22495
 C Class,2017,Automatic,39447,2,Petrol,21565
 C Class,2017,Semi-Auto,28272,2,Petrol,21697
 C Class,2016,Semi-Auto,20972,2.1,Diesel,20990
 C Class,2016,Semi-Auto,21745,2,Petrol,14770
 C Class,2015,Semi-Auto,31878,2.1,Diesel,13448
 C Class,2014,Semi-Auto,34382,2.1,Diesel,15998
 C Class,2018,Semi-Auto,12170,2,Diesel,27498
 C Class,2016,Semi-Auto,24111,2,Hybrid,19498
 C Class,2017,Semi-Auto,22888,2.1,Diesel,22498
 C Class,2016,Automatic,14965,2.1,Diesel,20105
 C Class,2016,Semi-Auto,45868,2.1,Diesel,14220
 C Class,2017,Semi-Auto,27637,2.1,Diesel,22260
 C Class,2014,Semi-Auto,32475,2.1,Diesel,16990
 C Class,2019,Automatic,151,3,Petrol,41880
 C Class,2019,Automatic,151,2,Diesel,30990
 C Class,2019,Automatic,7324,1.5,Petrol,28880
 C Class,2019,Automatic,2501,2,Diesel,28990
 C Class,2016,Semi-Auto,33237,2.1,Diesel,18700
 C Class,2017,Semi-Auto,63019,2.1,Diesel,17440
 C Class,2016,Semi-Auto,27306,2.1,Diesel,17770
 C Class,2017,Semi-Auto,34278,2.1,Diesel,18433
 C Class,2016,Semi-Auto,26600,2.1,Diesel,21440
 C Class,2017,Semi-Auto,19155,2.1,Diesel,22170
 C Class,2017,Semi-Auto,31538,2.1,Diesel,21115
 C Class,2019,Semi-Auto,3539,1.6,Diesel,21497
 C Class,2019,Semi-Auto,1287,2,Diesel,28400
 C Class,2016,Automatic,25178,2.1,Diesel,22765
 C Class,2018,Semi-Auto,23061,2.1,Diesel,22880
 C Class,2019,Automatic,3761,1.5,Petrol,22455
 C Class,2017,Semi-Auto,22684,2.1,Diesel,17330
 C Class,2017,Automatic,46294,2.1,Diesel,18795
 C Class,2016,Semi-Auto,39656,2.1,Diesel,15220
 C Class,2017,Semi-Auto,13096,2.1,Diesel,21440
 C Class,2017,Semi-Auto,21462,2.1,Diesel,20200
 C Class,2018,Semi-Auto,5232,1.6,Diesel,19660
 C Class,2017,Semi-Auto,15527,2.1,Diesel,22990
 C Class,2018,Semi-Auto,21200,2.1,Diesel,22770
 C Class,2018,Semi-Auto,45335,2.1,Diesel,19775
 C Class,2017,Semi-Auto,9873,2.1,Diesel,24660
 C Class,2017,Semi-Auto,22574,4,Petrol,33495
 C Class,2019,Semi-Auto,1705,1.6,Petrol,26890
 C Class,2019,Semi-Auto,2622,1.6,Petrol,26885
 C Class,2019,Semi-Auto,5298,2,Diesel,34790
 C Class,2017,Semi-Auto,22994,2,Petrol,18495
 C Class,2016,Semi-Auto,30301,2.1,Diesel,15699
 C Class,2017,Semi-Auto,28480,1.6,Diesel,18499
 C Class,2018,Semi-Auto,20087,2,Petrol,24799
 C Class,2017,Automatic,11800,2.1,Diesel,18995
 C Class,2014,Semi-Auto,25901,2.1,Diesel,15280
 C Class,2014,Automatic,20417,2,Petrol,14795
 C Class,2018,Automatic,14467,2.1,Diesel,19840
 C Class,2014,Semi-Auto,53144,2.1,Diesel,13791
 C Class,2017,Semi-Auto,14346,2.1,Diesel,24360
 C Class,2016,Semi-Auto,35991,2.1,Diesel,16990
 C Class,2016,Semi-Auto,30795,2.1,Diesel,17990
 C Class,2014,Semi-Auto,56958,2.1,Diesel,14990
 C Class,2016,Semi-Auto,26957,1.6,Diesel,15990
 C Class,2017,Semi-Auto,26281,1.6,Diesel,16998
 C Class,2016,Semi-Auto,16723,2.1,Diesel,21495
 C Class,2016,Semi-Auto,14909,2.1,Diesel,20995
 C Class,2018,Semi-Auto,24158,2.1,Diesel,20495
 C Class,2019,Semi-Auto,10605,2,Diesel,24736
 C Class,2017,Semi-Auto,12648,2.1,Diesel,21595
 C Class,2017,Semi-Auto,36135,2.1,Diesel,21295
 C Class,2016,Semi-Auto,19488,2.1,Diesel,19995
 C Class,2017,Semi-Auto,23033,2.1,Diesel,23495
 C Class,2016,Semi-Auto,22178,1.6,Diesel,15490
 C Class,2017,Semi-Auto,23400,2.1,Diesel,17000
 C Class,2017,Automatic,22214,2,Petrol,16402
 C Class,2019,Automatic,10920,2.1,Diesel,20682
 C Class,2018,Semi-Auto,8673,2,Diesel,29232
 C Class,2015,Semi-Auto,39687,2,Petrol,14698
 C Class,2014,Semi-Auto,54230,2.1,Diesel,14288
 C Class,2018,Semi-Auto,16974,2.1,Diesel,18265
 C Class,2014,Semi-Auto,14354,2,Petrol,15971
 C Class,2017,Automatic,35599,2,Petrol,19465
 C Class,2017,Semi-Auto,32632,2.1,Diesel,16210
 C Class,2016,Semi-Auto,35394,2.1,Diesel,16990
 C Class,2017,Semi-Auto,19733,2,Petrol,20990
 C Class,2016,Semi-Auto,15511,2,Petrol,17699
 C Class,2017,Semi-Auto,41857,2.1,Diesel,18495
 C Class,2019,Semi-Auto,4099,1.5,Petrol,28995
 C Class,2016,Automatic,50995,1.6,Diesel,14495
 C Class,2014,Semi-Auto,45527,2.1,Diesel,13950
 C Class,2014,Semi-Auto,74000,2.1,Diesel,12750
 C Class,2016,Automatic,45907,2.1,Hybrid,19495
 C Class,2016,Semi-Auto,38305,2.1,Diesel,18995
 C Class,2018,Semi-Auto,33082,2.1,Diesel,19950
 C Class,2017,Semi-Auto,22424,2.1,Diesel,19498
 C Class,2014,Semi-Auto,46425,2.1,Diesel,16360
 C Class,2017,Automatic,24425,2.1,Diesel,16767
 C Class,2014,Semi-Auto,62448,2.1,Diesel,10190
 C Class,2018,Semi-Auto,39383,2,Hybrid,19298
 C Class,2015,Semi-Auto,32023,2.1,Diesel,15998
 C Class,2016,Semi-Auto,25202,1.6,Diesel,15998
 C Class,2017,Semi-Auto,28631,2.1,Diesel,24698
 C Class,2016,Semi-Auto,29002,2.1,Diesel,14398
 C Class,2014,Semi-Auto,66140,2.1,Diesel,15998
 C Class,2018,Semi-Auto,33082,2.1,Diesel,19950
 C Class,2014,Semi-Auto,39173,2.1,Diesel,11149
 C Class,2018,Semi-Auto,27000,2,Petrol,17990
 C Class,2017,Semi-Auto,17000,2.1,Diesel,16490
 C Class,2017,Semi-Auto,35000,2,Hybrid,18450
 C Class,2015,Semi-Auto,39877,2.1,Diesel,11850
 C Class,2017,Semi-Auto,14893,1.6,Diesel,16350
 C Class,2015,Semi-Auto,81816,2,Petrol,10477
 C Class,2018,Semi-Auto,15408,2,Petrol,18998
 C Class,2016,Automatic,40998,2.1,Diesel,15870
 C Class,2016,Automatic,23539,2.1,Diesel,16700
 C Class,2017,Semi-Auto,37293,2,Petrol,19502
 C Class,2019,Automatic,7866,2,Diesel,28332
